tid,pl_orbper,pl_rade,st_teff,tfopwg_disp,is_exoplanet
356867115,6.0964074,2.5856853,4820.4,CP,yes
356867115,,4.258255,4820.4,PC,yes
441797803,5.6666168,14.8589,6530.0,PC,yes
185405474,1.56029,18.4825,6897.0,FP,no
186000935,8.8735214,6.0401,5992.0,FP,yes
232679662,7.8513774,,,FP,yes
233735068,7.6869063,23.7824,5147.3,FP,no
236815160,2.534612,,5009.6,APC,yes
277014266,1.3797091,22.2329,5924.0,FP,no
287190564,1.49861,,8590.0,FP,no
235037761,6.2407826,16.0959,4174.0,APC,no
294179389,2.6796,11.8862,5938.0,FP,no
378159598,6.1406417,26.5174686,8298.0,APC,no
405904232,11.0765063,12.8076,6460.0,FP,yes
11111899,0.6193401,8.84136,7812.5,FP,no
136848581,2.6400663,18.2671,5155.0,FP,no
137284119,2.5778717,18.687,8321.0,FP,no
15565627,3.80509,8.57193,6555.5,FP,no
165523947,2.99041,24.2511,8542.0,FP,no
167092385,4.9865029,,,PC,yes
167098530,0.890967,2.89678,5159.2,FP,no
89020549,2.1096805,3.6396725,5673.0,CP,yes
167403519,3.9729429,,,PC,yes
195199644,1.19888,20.5525,7315.0,FP,no
240450679,3.37644,,8639.7,APC,no
256886630,2.03905,6.42307,9003.0,FP,no
266688542,2.9424142,9.70968,6854.0,FP,no
274942910,1.0793011,3.31116,4349.3,FP,no
275111900,8.0428575,,8286.0,FP,no
312083267,3.9392211,27.6744,8715.0,APC,no
330332501,4.0157492,6.47219,6585.0,FP,no
345996087,2.01976,7.3626,7274.6,FP,no
219338557,8.1995368,1.9226211,4028.0,PC,yes
357457104,1.748054,,,FP,no
387664866,2.65646,12.1711,6135.4,FP,yes
387664868,2.65688,,,FP,yes
395171208,4.7201912,15.2105,6696.0,CP,no
42123111,4.03349,23.4514,11348.0,FP,no
89759617,3.3295394,14.3988,7965.0,FP,no
92783821,3.8615978,13.8394,7396.0,FP,no
160708862,3.3448312,21.2012,9364.0,KP,no
260128333,95.174,7.8498891,5723.2,CP,yes
269701147,8.8803281,3.20594,5555.7,CP,yes
269701147,28.580474,3.1455035,5555.7,CP,yes
269701147,38.3511223,3.2843583,5555.7,CP,yes
234994474,1.4015183,1.4616853,3794.0,CP,yes
233681149,8.5874668,5.3744721,5929.0,FP,no
233390838,6.4474918,48.9878,6477.6,FP,no
256621916,1.4136455,,5869.0,FP,no
358631536,3.4040139,5.34279,9622.0,FP,no
1400770435,13.7432169,25.7481,5941.5,FP,no
160487753,8.47134,16.9325,5146.0,PC,no
219852882,5.5025577,2.7049797,4965.0,CP,yes
219852882,1.7622537,2.5235818,4965.0,CP,no
229747848,0.8474218,1.7536544,5300.0,CP,yes
229747848,4.8420438,1.6177405,5300.0,CP,yes
229770036,2.14056,1.83828,4567.0,FP,yes
272635712,12.71672,2.7546,5711.1,APC,yes
267263253,4.1269046,17.0952,6888.0,CP,no
233953967,5.5402372,17.4013,6415.0,PC,no
1718201850,5.9294089,,,APC,yes
336740528,5.2958813,13.3622,5958.7,APC,yes
279177746,4.4350025,9.91393,9706.0,FP,no
365683032,1.4287976,9.00484,9224.0,FP,no
372264750,2.1702725,15.2590586,9218.0,PC,no
277566483,24.2544697,,8381.3,PC,no
357972447,0.33759,2.96097,7387.0,FP,no
275501623,1.67346,5.10182,10445.0,FP,no
416624606,2.5152549,13.4294,5915.0,FP,yes
410153553,0.4628844,1.3543237,3043.0,CP,no
330468175,0.70902,5.18865,8999.0,FP,no
277447970,2.237462,10.2256,7050.0,PC,no
395142888,1.9173816,17.5081,8129.0,PC,no
230017325,9.6926509,13.5133,6012.0,FP,yes
26880783,1.7753644,9.49405,9598.0,PC,no
367099243,1.8286961,21.4433,6046.3,FP,no
120602501,14.8626982,26.5090911,5705.0,FP,no
129539786,2.0881134,5.41738,6255.8,FP,no
136971594,1.25562,2.95064,5717.0,FP,no
155005217,7.6047417,6.14418,9139.0,FP,no
176957796,4.8173797,1.71137,4651.0,FA,yes
155114483,5.2651271,11.2446,8728.0,FP,no
162130054,5.0095595,36.2553,6527.0,APC,no
164150539,6.1600888,8.22262,5772.0,FP,no
176899385,3.8529998,15.4014,6893.4,KP,no
190430205,1.06884,10.3628,9222.0,FP,no
190442486,5.4561177,5.78741,7465.0,FP,no
190743990,1.7380504,4.42263,6026.0,FP,no
240613164,1.99143,,9458.2,FP,no
249812036,5.7785318,42.6903,8224.0,FP,no
252490659,1132.0244686,30.6957,5984.0,APC,no
277683130,6.1982658,7.84585,5722.0,APC,no
274170255,1.41072,8.4993,5197.0,FP,no
275722992,6.5601782,28.2675,9976.0,PC,no
276360911,0.44482,10.8884,7184.0,FA,no
313506357,1.532703,10.8699,6023.1,FP,no
328167090,0.7131492,4.89712,5128.9,FP,no
329864959,4.52318,,,FP,yes
343019899,25.8386422,4.31235,5769.0,CP,yes
343442463,0.78381,3.89595,7842.0,FP,no
346338552,4.4652986,14.5331,6051.2,KP,yes
353038705,3.062624,,5086.8,PC,yes
62483237,11.0708575,2.3337648,4356.0,CP,yes
365389353,2.6380089,12.8098,7495.0,FP,no
389182138,2.7260173,4.98036,5256.0,FP,no
416987878,2.86876,8.48351,8342.0,FP,no
430528566,0.5590256,4.22851,,FP,no
431156009,2.958148,4.47387,6294.0,FP,no
468472950,0.98736,3.41784,6301.3,FP,no
468845640,3.99307,6.35126,4731.1,FP,no
64553698,8.6795072,24.132,6057.0,FP,no
66445643,6.5560604,13.1465,8918.0,APC,no
66783360,1.3812787,5.91488,6483.0,FP,no
140068425,2.2813432,12.7387194,6174.0,APC,no
258801269,5.48923,11.8401,6004.0,FP,yes
259126549,7.3845072,23.6091,6149.2,FP,no
259129875,0.43889,6.69456,7111.0,FP,no
328750515,2.3359622,18.3852989,7577.0,FP,no
352239069,6.8674054,2.4024,6051.5,PC,yes
352239069,14.431887,3.73311,6051.5,PC,yes
387834907,12.64001,,5195.1,FP,yes
231736113,10.5739824,9.43898,6519.0,CP,no
69747919,9.9783319,2.0515332,6073.5,KP,yes
364186197,4.4247042,8.3621,6594.0,CP,no
364186197,2.2222094,1.39527,6594.0,KP,no
115771549,4.7182888,15.2763,6112.0,APC,no
403224672,1.0082361,1.7202,5795.29,CP,no
199444169,1.2168732,3.43106,4634.6,CP,no
116483514,1.4520486,1.404,4184.0,CP,yes
116483734,4.731977,6.97384,4223.45,APC,yes
119700084,6.1182129,6.1579891,5427.0,PC,yes
125442121,3.0197807,17.9176077,7128.0,APC,yes
148782377,14.4204896,4.7909139,6383.0,PC,yes
158025009,1.0697621,1.60037,4946.0,CP,yes
164173105,3.0726434,19.9197757,7164.0,CP,no
224600500,0.6763235,1.700035,8475.0,FA,no
311035838,2.8997405,10.0433,5224.0,KP,no
425934411,0.8533534,12.600718,3658.0,PC,no
321857016,6.9561134,12.090823,5387.0,CP,no
329277372,2.8879675,,5780.0,APC,yes
333473672,13.001789,3.84805,5914.0,CP,yes
