pl_orbper,pl_orbsmax,pl_eqt,st_logg,st_mass,pl_insol,pl_rade,st_age,st_rad,st_met,st_teff,ra,dec,disposition,source
33.5116,0.0819,870.5,4.447,0.959,133.2115,2.89,4.765000000000001,0.875,-0.08,5662.0,175.6541539,5.8942286,CANDIDATE,K2
33.513607,0.0819,870.5,4.57,0.959,133.2115,2.47313225,4.765000000000001,0.857642,-0.18,5628.0,175.6541539,5.8942286,CANDIDATE,K2
33.515399,0.0819,870.5,4.447,0.959,133.2115,2.03,4.765000000000001,0.65,-0.08,4222.0,175.6541539,5.8942286,CANDIDATE,K2
3.96151,0.0819,870.5,4.447,0.611,133.2115,1.0,4.765000000000001,0.966,-0.08,5662.0,169.483654,5.988289,CONFIRMED,K2
3.96165,0.0819,870.5,4.447,0.959,133.2115,1.48,4.765000000000001,0.634,-0.08,5662.0,169.483654,5.988289,CONFIRMED,K2
6.97251,0.0819,870.5,4.447,0.959,133.2115,2.01,4.765000000000001,0.6252,-0.08,5662.0,168.5709572,6.0608498,CANDIDATE,K2
4.1698,0.035,870.5,4.595,0.802,133.2115,1.04,4.765000000000001,0.628461,0.0,5053.0,175.206752,6.1348146,CONFIRMED,K2
4.16959,0.0819,870.5,4.447,0.802,133.2115,1.1,4.765000000000001,0.966,-0.08,5662.0,175.206752,6.1348146,CONFIRMED,K2
4.16888,0.0819,870.5,4.447,0.959,133.2115,1.41,4.765000000000001,0.628,-0.08,5662.0,175.206752,6.1348146,CONFIRMED,K2
12.3389,0.0819,870.5,4.447,0.959,133.2115,2.11,4.765000000000001,0.628,-0.08,5662.0,175.206752,6.1348146,CANDIDATE,K2
12.339133,0.0819,870.5,4.447,0.959,133.2115,2.59,4.765000000000001,0.73,-0.08,4751.0,175.206752,6.1348146,CANDIDATE,K2
2.89465,0.0819,870.5,4.447,0.959,133.2115,1.75,4.765000000000001,0.702,-0.08,5662.0,176.8902497,6.2407166,CANDIDATE,K2
3.83794,0.0819,870.5,4.447,0.959,133.2115,1.51,4.765000000000001,0.809,-0.08,5662.0,177.987935,6.4404496,CANDIDATE,K2
5.24086,0.0819,870.5,4.447,0.959,133.2115,1.46,4.765000000000001,0.809,-0.08,5662.0,177.987935,6.4404496,CANDIDATE,K2
2790.0,0.0819,870.5,4.447,0.959,133.2115,12.2,4.765000000000001,0.93,-0.08,5100.0,170.9969231,7.1649482,CANDIDATE,K2
8.91058,0.0819,870.5,4.447,0.959,133.2115,2.8,4.765000000000001,1.028,-0.08,5662.0,176.6671476,7.2433545,CANDIDATE,K2
28.2692,0.0819,870.5,4.2,0.959,133.2115,3.35,4.765000000000001,1.29,-0.08,5631.0,174.1067018,7.7529977,CANDIDATE,K2
28.270642,0.0819,870.5,4.447,0.959,133.2115,2.79,4.765000000000001,0.9,-0.08,5545.0,174.1067018,7.7529977,CANDIDATE,K2
28.2671,0.0819,870.5,4.447,0.959,133.2115,2.94,4.765000000000001,1.028,-0.08,5662.0,174.1067018,7.7529977,CANDIDATE,K2
28.271761,0.0819,870.5,4.42,0.959,133.2115,2.7100633,4.765000000000001,0.933556,0.13,5548.0,174.1067018,7.7529977,CANDIDATE,K2
28.2717,0.0819,870.5,4.40705,0.98,133.2115,2.47,4.765000000000001,1.02594,-0.01,5564.0,174.1067018,7.7529977,CANDIDATE,K2
4.73172,0.0819,870.5,4.447,0.959,133.2115,1.7,4.765000000000001,1.028,-0.08,5662.0,174.1067018,7.7529977,CANDIDATE,K2
